Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,SMA_10,EMA_10,RSI,MACD
87,AAPL,2015-09-29 00:00:00+00:00,109.06,113.51,107.86,112.83,73365384,100.9552698672,105.0745707191,99.8444471656,104.4451045215,73365384,0.0,1.0,113.792,113.02689354520008,40.22273458208694,-0.4698820412767333
88,AAPL,2015-09-30 00:00:00+00:00,110.3,111.54,108.73,110.17,65041596,102.1031199922,103.2509701173,100.6497936243,101.9827808662,65041596,0.0,1.0,113.181,112.53109471011167,43.230065124920586,-0.6586610927794396
89,AAPL,2015-10-01 00:00:00+00:00,109.58,109.62,107.31,109.07,63929100,101.4366263713,101.4736537946,99.335320094,100.9645267231,63929100,0.0,1.0,112.747,111.99453202785277,41.91158172259536,-0.8564946961758295
90,AAPL,2015-10-02 00:00:00+00:00,110.38,111.0136,107.55,108.01,58019758,102.177174839,102.7636892255,99.5574846343,99.9833000033,58019758,0.0,1.0,112.44000000000001,111.7009807466177,43.956864568480704,-0.937914246458746
91,AAPL,2015-10-05 00:00:00+00:00,110.78,111.3698,109.07,109.88,52064743,102.5474490729,103.0934184308,100.9645267231,101.7143320467,52064743,0.0,1.0,111.997,111.53352970017092,44.99962410472179,-0.959107179056943
92,AAPL,2015-10-06 00:00:00+00:00,111.31,111.74,109.765,110.63,48856977,103.0380624328,103.4361072342,101.6078782044,102.4085962352,48856977,0.0,1.0,111.78800000000001,111.49288793618433,46.42210982344747,-0.9225021299067322
93,AAPL,2015-10-07 00:00:00+00:00,110.78,111.77,109.41,111.74,46765550,102.5474490729,103.4638778017,101.2792598219,103.4361072342,46765550,0.0,1.0,111.434,111.36327194695437,45.1641668776709,-0.9255893178385293
94,AAPL,2015-10-08 00:00:00+00:00,109.5,110.19,108.21,110.19,61979577,101.3625715245,102.0012945779,100.1684371202,102.0012945779,61979577,0.0,1.0,110.88399999999999,111.02449522754537,42.1906457710677,-1.0195682905162755
95,AAPL,2015-10-09 00:00:00+00:00,112.12,112.28,109.49,110.0,52766140,103.7878677564,103.9359774499,101.3533146686,101.8254143168,52766140,0.0,1.0,110.625,111.22367791430293,49.51715128898759,-0.8725766789046503
96,AAPL,2015-10-12 00:00:00+00:00,111.6,112.75,111.44,112.73,30467204,103.3065112523,104.3710496748,103.1584015588,104.3525359631,30467204,0.0,1.0,110.54099999999998,111.29210011194318,48.21118108150313,-0.7889498985376662
97,AAPL,2015-10-13 00:00:00+00:00,111.79,112.45,110.68,110.82,33049256,103.4823915134,104.0933439993,102.4548805144,102.58447649629998,33049256,0.0,1.0,110.81400000000001,111.3826273645778,48.743123587967396,-0.6992827640787596
98,AAPL,2015-10-14 00:00:00+00:00,110.21,111.52,109.56,111.29,44462449,102.0198082896,103.2324564056,101.41811265959998,103.0195487211,44462449,0.0,1.0,110.80499999999999,111.16942238869775,44.63717454990274,-0.7471015873479416
99,AAPL,2015-10-15 00:00:00+00:00,111.86,112.1,110.49,110.93,37673452,103.5471895044,103.7693540447,102.2790002533,102.6863019106,37673452,0.0,1.0,111.03299999999999,111.29498195463108,49.428116086445215,-0.6444285675463277
100,AAPL,2015-10-16 00:00:00+00:00,111.04,112.0,110.53,111.78,39232609,102.7881273249,103.6767854862,102.3160276767,103.4731346576,39232609,0.0,1.0,111.099,111.2486215991705,47.24020826864152,-0.6220559330288609
101,AAPL,2015-10-19 00:00:00+00:00,111.73,111.75,110.11,110.8,29759153,103.4268503784,103.4453640901,101.9272397311,102.5659627846,29759153,0.0,1.0,111.194,111.3361449448888,49.27489628628276,-0.5423958241273823
102,AAPL,2015-10-20 00:00:00+00:00,113.77,114.17,110.82,111.34,48967763,105.3152489711,105.685523205,102.58447649629998,103.0658330003,48967763,0.0,1.0,111.44000000000001,111.77866404628527,54.82224151774213,-0.3110678661660842
103,AAPL,2015-10-21 00:00:00+00:00,113.76,115.58,113.7,114.0,42326974,105.3059921153,106.9907398794,105.2504509802,105.5281566556,42326974,0.0,1.0,111.73800000000001,112.13890694727183,54.79060979096987,-0.12708080091248064
104,AAPL,2015-10-22 00:00:00+00:00,115.5,115.5,114.1,114.33,41654089,106.9166850327,106.9166850327,105.6207252141,105.8336328986,41654089,0.0,1.0,112.33800000000001,112.75001477547245,59.20166490783234,0.15732024224534769
105,AAPL,2015-10-23 00:00:00+00:00,119.08,119.228,116.33,116.7,59366914,110.2306394259,110.3676408924,107.685004068,108.0275077343,59366914,0.0,1.0,113.03400000000002,113.90092118059746,66.45393377964034,0.6639327946653424
106,AAPL,2015-10-26 00:00:00+00:00,115.28,118.13,114.92,118.08,66333781,106.713034204,109.3512381204,106.3797873935,109.3049538412,66333781,0.0,1.0,113.402,114.15166278424381,55.231145710341366,0.7501513722631756
107,AAPL,2015-10-27 00:00:00+00:00,114.55,116.54,113.99,115.4,69884400,106.0372837272,107.8793980408,105.5188997998,106.8241164742,69884400,0.0,1.0,113.678,114.22408773259116,53.366597866952674,0.750919188076125
108,AAPL,2015-10-28 00:00:00+00:00,119.27,119.3,116.06,116.93,85551352,110.406519687,110.4342902545,107.4350689601,108.2404154188,85551352,0.0,1.0,114.58399999999999,115.14152632695604,62.24223569352925,1.119487486071165
